session,ID,occasion,trap
1,LA11,1,N7n4
1,LA1,1,M8n5
1,LA8,2,N3n5
1,LC81,2,N3n5
1,LC82,2,N3n5
1,LA14,3,M7m7b
1,LA8,3,N3n5
1,LC81,3,N3n5
1,LC82,3,N3n5
1,LA9,3,N4n4
1,LA2,4,M9n3
1,LC21,4,M9n3
1,LC22,4,M9n3
1,LA10,4,N4n7
1,LA1,5,M8n4
1,LC11,5,M8n4
1,LA7,5,N2n7
1,LA1,6,M8n4
1,LA12,7,M6m9
1,LA12,7,M6m9
1,LA12,7,M6m9
1,LA4,7,N0n5
1,LA1,7,M8n4
1,LA12,7,M6m9
1,LA12,7,M6m9
1,LA12,7,M6m9
1,LA12,7,M6m9c
1,LA12,8,M6n1
1,LA4,8,N0n5
1,LA12,8,M5n0
1,LA6,8,N1n0
1,LA10,8,N5n7
1,LC13,9,M6m9c
1,LA12,10,M6m9
1,LA12,10,M6m9
1,LA3,10,N0n2e
1,LA12,10,M5n0
1,LA3,10,N0n2b
1,LC31,10,N0n2b
1,LC32,10,N0n2b
